,BEECHJET 400,BEECHJET 400A,CITATION 500,CITATION 525,CITATION BRAVO,CITATION CJ1,CITATION CJ2,CITATION ENCORE,CITATION EXCEL,CITATION I,CITATION I/SP,CITATION II,CITATION II/SP,CITATION S/II,CITATION ULTRA,CITATION V,DIAMOND I,DIAMOND IA,DIAMOND II,FALCON 10,FALCON 100,JET COMMANDER 1121,JET COMMANDER 1121A,JET COMMANDER 1121B,LEARJET 23,LEARJET 24,LEARJET 24A,LEARJET 24B,LEARJET 24D,LEARJET 24E,LEARJET 24F,LEARJET 25,LEARJET 25B,LEARJET 25C,LEARJET 25D,LEARJET 25G,LEARJET 28,LEARJET 29,LEARJET 31,LEARJET 31A,LEARJET 35,LEARJET 35A,LEARJET 36,LEARJET 36A,LEARJET 55,PREMIER I,SABRELINER 40,SABRELINER 40A,SABRELINER 40EL,SABRELINER 40EX,SABRELINER 40R,SABRELINER 40SE,CITATION CJ3,HAWKER 400XP,CITATION CJ1+,CITATION CJ2+,PREMIER IA,CITATION ENCORE+,CITATION CJ4,EMBRAER PHENOM 100,EMBRAER PHENOM 300,HONDAJET HA-420,SYBERJET SJ30-2,CITATION M2,NEXTANT 400XT,CITATION CJ3+,PILATUS PC-24,NEXTANT 400XTi,HAWKER 400XPR,EMBRAER PHENOM 100E,EMBRAER PHENOM 100EV,EMBRAER PHENOM 300E,HONDAJET ELITE,CITATION CJ4 GEN2,HONDAJET ELITE S,CITATION M2 GEN 2
  Hull,930,"9,895","1,253","5,060","14,417","2,482","7,730","7,122","10,694","1,333","2,518","2,992","1,659","5,744","4,371","4,554",716,"5,813","1,342",760,"1,416",288,312,"1,430",192,"2,520","2,160","3,120","3,840","5,160","3,910","2,640","4,440","4,560","5,015","7,920","5,820","2,160","1,672","3,151","5,000","9,733","7,800","1,705","2,400","2,465","1,496",396,598,598,598,598,"13,742","6,344","9,125","19,040","6,484","19,836","24,903","8,888","34,055","7,488","24,968","18,181","4,725","37,630","33,235","13,205","8,496","9,271","13,862","24,256","12,963","24,484","13,500","27,852"
  Legal Liability,"4,960","2,056","12,050","19,800","3,604","16,341","23,191","24,419","36,194","22,220","25,184","15,895","16,592","57,440","15,510","24,973","8,775","1,031","17,600",950,"7,450","20,400","14,300","6,600","1,360","17,850","15,300","1,430","1,760","1,892","25,300","1,210","2,035","20,900","2,596","1,815","4,122","14,850","2,159","1,728","10,000","12,595","17,875","17,050","33,000","14,463","19,944","18,150","17,928","17,928","17,928","17,928","10,470","17,446","3,532","40,653","22,823","34,310","7,371","12,120","13,900","9,734","5,938","6,220","6,125","7,526","8,948","5,213","15,992","9,570","6,566","8,331","7,778","6,919","7,875","8,123"
Misc. Overhead,"118,266","114,888","80,876","89,353","119,933","85,198","90,568","135,144","148,183","91,029","107,264","98,009","91,749","99,628","109,039","107,536","117,171","112,337","111,394","112,723","110,817","175,174","175,174","164,737","175,878","174,347","173,453","171,358","170,720","160,645","119,546","170,720","169,954","169,954","133,776","178,866","165,055","162,918","118,284","107,450","118,779","106,572","118,779","98,968","125,288","99,213","141,980","157,448","145,968","145,968","145,968","145,968","96,639","117,799","85,607","96,708","96,494","121,887","114,462","71,101","112,785","75,777","83,275","86,770","87,678","89,560","114,627","93,251","98,341","69,549","81,738","108,088","78,603","105,756","81,427","81,336"
  Training,"40,023","38,858","27,130","30,053","40,598","28,620","30,472","45,843","50,339","30,631","36,229","33,038","30,879","33,596","36,841","36,323","39,645","37,978","37,653","38,111","37,454","59,646","59,646","56,047","59,889","59,361","59,053","58,330","58,110","54,636","40,464","58,110","57,846","57,846","45,371","60,919","56,157","55,420","40,029","36,293","40,200","35,990","40,200","33,368","42,444","33,453","48,200","53,534","49,575","49,575","49,575","49,575","32,565","39,862","28,761","32,589","32,515","41,271","38,711","23,759","38,133","25,371","27,957","29,162","29,475","30,124","38,768","31,397","33,152","23,224","27,427","36,513","26,346","35,709","27,320","27,288"
  Modernization,"76,043","73,830","51,546","57,100","77,135","54,378","57,896","87,101","95,644","58,198","68,835","62,771","58,670","63,832","69,998","69,013","75,326","72,159","71,541","72,412","71,163","113,328","113,328","106,490","113,789","112,786","112,200","110,828","110,410","103,809","76,882","110,410","109,908","109,908","86,205","115,747","106,698","105,298","76,055","68,957","76,379","68,382","76,379","63,400","80,644","63,560","91,580","101,714","94,193","94,193","94,193","94,193","61,874","75,737","54,646","61,919","61,779","78,416","73,551","45,142","72,452","48,206","53,118","55,408","56,003","57,236","73,659","59,654","62,989","44,125","52,111","69,375","50,057","67,847","51,907","51,848"
  Nav. Equipment,"2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200"
Depreciation,"24,800","102,800","38,560","88,000","240,280","165,480","268,880","271,320","329,040","32,320","62,960","74,800","41,480","143,600","112,800","117,520","10,800","15,000","17,600","19,000","59,600","9,600","10,400","4,400","6,400","8,400","7,200","10,400","12,800","17,200","18,400","8,800","14,800","15,200","23,600","26,400","19,400","72,000","55,720","81,320","25,000","45,800","26,000","44,000","60,000","131,480","4,986","13,200","19,920","19,920","19,920","19,920","523,520","158,600","235,480","411,680","207,480","428,880","796,880","129,280","556,000","299,520","539,858","382,760","140,000","792,200","1,022,600","278,000","399,800","239,240","291,840","843,680","414,800","851,600","450,000","464,200"
Total Fixed Costs,"442,164","522,847","400,345","471,680","686,522","538,960","667,378","758,215","879,094","376,879","390,103","500,173","449,157","614,889","560,072","572,935","387,470","385,539","397,944","399,272","445,122","393,761","388,485","365,466","402,238","421,525","416,593","404,788","407,528","403,377","380,877","404,911","412,770","432,155","386,528","436,542","423,745","481,276","408,146","423,960","441,505","457,523","453,180","444,546","571,356","431,661","352,964","374,818","368,674","368,674","368,674","368,674","958,253","583,947","603,118","845,190","517,413","925,807","1,256,969","394,456","925,443","565,479","920,432","763,731","488,720","1,240,695","1,407,063","639,677","808,026","500,697","567,073","1,193,058","687,104","1,302,112","725,762","851,405"
ANNUAL BUDGET (US Standard),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US),Dollar (US)
,BEECHJET 400,BEECHJET 400A,CITATION 500,CITATION 525,CITATION BRAVO,CITATION CJ1,CITATION CJ2,CITATION ENCORE,CITATION EXCEL,CITATION I,CITATION I/SP,CITATION II,CITATION II/SP,CITATION S/II,CITATION ULTRA,CITATION V,DIAMOND I,DIAMOND IA,DIAMOND II,FALCON 10,FALCON 100,JET COMMANDER 1121,JET COMMANDER 1121A,JET COMMANDER 1121B,LEARJET 23,LEARJET 24,LEARJET 24A,LEARJET 24B,LEARJET 24D,LEARJET 24E,LEARJET 24F,LEARJET 25,LEARJET 25B,LEARJET 25C,LEARJET 25D,LEARJET 25G,LEARJET 28,LEARJET 29,LEARJET 31,LEARJET 31A,LEARJET 35,LEARJET 35A,LEARJET 36,LEARJET 36A,LEARJET 55,PREMIER I,SABRELINER 40,SABRELINER 40A,SABRELINER 40EL,SABRELINER 40EX,SABRELINER 40R,SABRELINER 40SE,CITATION CJ3,HAWKER 400XP,CITATION CJ1+,CITATION CJ2+,PREMIER IA,CITATION ENCORE+,CITATION CJ4,EMBRAER PHENOM 100,EMBRAER PHENOM 300,HONDAJET HA-420,SYBERJET SJ30-2,CITATION M2,NEXTANT 400XT,CITATION CJ3+,PILATUS PC-24,NEXTANT 400XTi,HAWKER 400XPR,EMBRAER PHENOM 100E,EMBRAER PHENOM 100EV,EMBRAER PHENOM 300E,HONDAJET ELITE,CITATION CJ4 GEN2,HONDAJET ELITE S,CITATION M2 GEN 2
Number of Seats,7,7,6,6,7,6,8,7,8,6,6,7,7,8,7,7,7,7,7,7,8,7,7,7,6,6,6,6,6,6,6,8,8,6,8,8,8,6,8,8,8,8,6,6,8,6,6,6,6,6,6,6,7,9,4,6,7,8,7,4,7,5,6,6,7,6,8,9,8,5,7,7,5,10,7,7
Nautical Miles,"35,871","59,047","6,308","55,436","66,107","52,918","89,345","75,123","129,513","22,041","22,635","32,265","26,087","30,949","80,342","67,753",0,"6,187",0,"33,158","34,526",434,0,0,0,0,0,348,389,"2,518","5,462",0,"3,465",0,"7,143",0,0,"16,505","58,401","49,367","65,118","79,416","99,390","97,374","44,259","54,763",0,"2,907",0,0,0,0,"109,984","120,159","59,039","88,480","61,159","108,451","95,696","58,265","223,188","80,335","18,697","68,737","120,166","104,472","117,080","146,995","102,630","40,433","41,743","126,121","108,068","86,462","76,999","52,196"
Hours,86,151,17,167,186,159,238,190,324,68,74,94,76,85,205,176,0,16,0,79,84,1,0,0,0,0,0,1,1,7,15,0,9,0,15,0,0,39,138,115,152,185,232,232,107,137,0,8,0,0,0,0,287,276,172,233,153,283,228,149,543,214,44,187,362,272,291,363,228,119,121,303,294,206,208,141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Direct Costs,"170,807","291,112","22,805","248,434","374,767","225,145","359,044","432,656","810,635","103,124","132,937","153,866","116,200","141,508","374,545","317,000",0,"30,142",0,"149,355","156,046","2,838",0,0,0,0,0,"2,820","2,809","18,512","29,565",0,"25,174",0,"33,124",0,0,"105,957","269,556","203,149","298,138","323,929","455,054","376,747","221,156","223,510",0,"19,916",0,0,0,0,"463,002","535,911","244,764","376,169","242,440","579,745","437,883","174,771","1,027,155","263,789","59,903","269,859","519,640","405,611","551,794","556,399","368,582","136,395","164,118","548,626","377,734","364,710","277,122","190,268"
Total Fixed Costs,"442,164","522,847","400,345","471,680","686,522","538,960","667,378","758,215","879,094","376,879","390,103","500,173","449,157","614,889","560,072","572,935","387,470","385,539","397,944","399,272","445,122","393,761","388,485","365,466","402,238","421,525","416,593","404,788","407,528","403,377","380,877","404,911","412,770","432,155","386,528","436,542","423,745","481,276","408,146","423,960","441,505","457,523","453,180","444,546","571,356","431,661","352,964","374,818","368,674","368,674","368,674","368,674","958,253","583,947","603,118","845,190","517,413","925,807","1,256,969","394,456","925,443","565,479","920,432","763,731","488,720","1,240,695","1,407,063","639,677","808,026","500,697","567,073","1,193,058","687,104","1,302,112","725,762","851,405"
Total Variable Costs,"254,227","438,489","39,590","403,150","535,909","309,066","495,176","606,051","1,100,187","169,803","152,907","249,962","161,594","227,640","562,674","478,516",0,"45,862",0,"233,288","245,293","3,246",0,0,0,0,0,"3,073","3,062","20,277","44,387",0,"28,000",0,"50,356",0,0,"116,254","390,149","324,379","430,205","519,493","645,029","610,394","332,613","295,216",0,"25,020",0,0,0,0,"639,743","827,230","331,146","501,849","330,171","805,183","642,399","230,029","1,149,330","215,639","101,264","348,961","878,672","511,420","674,887","901,976","576,291","186,478","207,436","643,466","300,705","476,569","223,875","253,718"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Cost (Fixed & Direct),"612,971","813,959","423,150","720,114","1,061,289","764,105","1,026,422","1,190,871","1,689,729","480,003","523,040","654,039","565,357","756,397","934,617","889,935","387,470","415,681","397,944","548,627","601,168","396,599","388,485","365,466","402,238","421,525","416,593","407,608","410,337","421,889","410,442","404,911","437,944","432,155","419,652","436,542","423,745","587,233","677,702","627,109","739,643","781,452","908,234","821,293","792,512","655,171","352,964","394,734","368,674","368,674","368,674","368,674","1,421,255","1,119,858","847,882","1,221,359","759,853","1,505,552","1,694,852","569,227","1,952,598","829,268","980,335","1,033,590","1,008,360","1,646,306","1,958,857","1,196,076","1,176,608","637,092","731,191","1,741,684","1,064,838","1,666,822","1,002,884","1,041,673"
  Cost/Hour,"7,128","5,390","24,891","4,312","5,706","4,806","4,313","6,268","5,215","7,059","7,068","6,958","7,439","8,899","4,559","5,056",#DIV/0!,"25,980",#DIV/0!,"6,945","7,157","396,599",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"407,608","410,337","60,270","27,363",#DIV/0!,"48,660",#DIV/0!,"27,977",#DIV/0!,#DIV/0!,"15,057","4,911","5,453","4,866","4,224","3,915","3,540","7,407","4,782",#DIV/0!,"49,342",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"4,952","4,057","4,930","5,242","4,966","5,320","7,434","3,820","3,596","3,875","22,280","5,527","2,786","6,053","6,731","3,295","5,161","5,354","6,043","5,748","3,622","8,091","4,822","7,388"
  Cost/Nautical Mile,17.09,13.78,67.08,12.99,16.05,14.44,11.49,15.85,13.05,21.78,23.11,20.27,21.67,24.44,11.63,13.13,#DIV/0!,67.19,#DIV/0!,16.55,17.41,913.82,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"1,171.29","1,054.85",167.55,75.15,#DIV/0!,126.39,#DIV/0!,58.75,#DIV/0!,#DIV/0!,35.58,11.6,12.7,11.36,9.84,9.14,8.43,17.91,11.96,#DIV/0!,135.79,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,12.92,9.32,14.36,13.8,12.42,13.88,17.71,9.77,8.75,10.32,52.43,15.04,8.39,15.76,16.73,8.14,11.46,15.76,17.52,13.81,9.85,19.28,13.02,19.96
  Cost/Seat Mile,2.44,1.97,11.18,2.17,2.29,2.41,1.44,2.26,1.63,3.63,3.85,2.9,3.1,3.06,1.66,1.88,#DIV/0!,9.6,#DIV/0!,2.36,2.18,130.55,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,195.22,175.81,27.93,12.53,#DIV/0!,15.8,#DIV/0!,7.34,#DIV/0!,#DIV/0!,5.93,1.45,1.59,1.42,1.23,1.52,1.41,2.24,1.99,#DIV/0!,22.63,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.85,1.04,3.59,2.3,1.77,1.74,2.53,2.44,1.25,2.06,8.74,2.51,1.2,2.63,2.09,0.9,1.43,3.15,2.5,1.97,1.97,1.93,1.86,2.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Cost (No Depreciation),"588,171","711,159","384,590","632,114","821,009","598,625","757,542","919,551","1,360,689","447,683","460,080","579,239","523,877","612,797","821,817","772,415","376,670","400,681","380,344","529,627","541,568","386,999","378,085","361,066","395,838","413,125","409,393","397,208","397,537","404,689","392,042","396,111","423,144","416,955","396,052","410,142","404,345","515,233","621,982","545,789","714,643","735,652","882,234","777,293","732,512","523,691","347,978","381,534","348,754","348,754","348,754","348,754","897,735","961,258","612,402","809,679","552,373","1,076,672","897,972","439,947","1,396,598","529,748","440,477","650,830","868,360","854,106","936,257","918,076","776,808","397,852","439,351","898,004","650,038","815,222","552,884","577,473"
  Cost/Hour,"6,839","4,710","22,623","3,785","4,414","3,765","3,183","4,840","4,200","6,584","6,217","6,162","6,893","7,209","4,009","4,389",#DIV/0!,"25,043",#DIV/0!,"6,704","6,447","386,999",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"397,208","397,537","57,813","26,136",#DIV/0!,"47,016",#DIV/0!,"26,403",#DIV/0!,#DIV/0!,"13,211","4,507","4,746","4,702","3,977","3,803","3,350","6,846","3,823",#DIV/0!,"47,692",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"3,128","3,483","3,560","3,475","3,610","3,804","3,938","2,953","2,572","2,475","10,011","3,480","2,399","3,140","3,217","2,529","3,407","3,343","3,631","2,964","2,211","3,957","2,658","4,096"
  Cost/Nautical Mile,16.4,12.04,60.97,11.4,12.42,11.31,8.48,12.24,10.51,20.31,20.33,17.95,20.08,19.8,10.23,11.4,#DIV/0!,64.76,#DIV/0!,15.97,15.69,891.7,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"1,141.40","1,021.95",160.72,71.78,#DIV/0!,122.12,#DIV/0!,55.45,#DIV/0!,#DIV/0!,31.22,10.65,11.06,10.97,9.26,8.88,7.98,16.55,9.56,#DIV/0!,131.25,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8.16,8,10.37,9.15,9.03,9.93,9.38,7.55,6.26,6.59,23.56,9.47,7.23,8.18,8,6.25,7.57,9.84,10.53,7.12,6.02,9.43,7.18,11.06
  Cost/Seat Mile,2.34,1.72,10.16,1.9,1.77,1.89,1.06,1.75,1.31,3.39,3.39,2.56,2.87,2.48,1.46,1.63,#DIV/0!,9.25,#DIV/0!,2.28,1.96,127.39,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,190.23,170.33,26.79,11.96,#DIV/0!,15.27,#DIV/0!,6.93,#DIV/0!,#DIV/0!,5.2,1.33,1.38,1.37,1.16,1.48,1.33,2.07,1.59,#DIV/0!,21.88,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.17,0.89,2.59,1.53,1.29,1.24,1.34,1.89,0.89,1.32,3.93,1.58,1.03,1.36,1,0.69,0.95,1.97,1.5,1.02,1.2,0.94,1.03,1.58